Fecha,Obrador Kiteni,PS#1,KP-7+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 142+000,KP-181+900,KP 184+039,PS#3,PS#4/XV10007,Mes,Ruptura
2021-05-22,0.0,0.0,0.0,0.0,0.2,2.5,3.5,8.5,3.0,4.0,22.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-23,0.0,0.2,1.5,24.2,8.2,2.2,18.2,2.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-24,0.0,27.0,48.0,38.8,19.0,24.9,46.8,52.6,32.0,33.5,35.0,40.400000000000006,24.4,17.3,9.0,16.6,28.0,10.8,0.0,12.799999999999999,4.6,2021-05,0
2021-05-25,0.0,0.0,0.0,0.0,0.5,2.5,0.5,1.5,4.0,10.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.0,2021-05,0
2021-05-26,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.30000000000000004,0.0,0.0,0.6000000000000001,0.0,0.0,6.4,0.4,4.8,0.0,6.2,2.6,2021-05,0
2021-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2021-05,0
2021-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
